#{"t_start": 1784121635.9929411, "env_id": "FetchReachDense-v4"}
r,l,t
-6.664129,50,58.77985
-7.781131,50,58.98694
-7.044354,50,59.118648
-5.047838,50,59.249198
-11.805366,50,59.382118
-10.117682,50,59.512164
-10.557939,50,59.666552
-5.45331,50,59.866725
-6.951955,50,60.096931
-6.336273,50,60.240585
-8.488587,50,60.383926
-11.563973,50,60.520741
-9.854455,50,60.636894
-14.083479,50,60.759722
-5.52127,50,60.895296
-5.446482,50,61.030419
-8.922835,50,61.264312
-5.290018,50,61.413202
-7.375488,50,61.543616
-11.591543,50,61.766933
-4.22836,50,61.974163
-5.329508,50,62.518132
-6.039598,50,62.690751
-9.422209,50,62.833672
-8.914217,50,62.975199
-10.464661,50,63.117798
-5.011116,50,63.255865
-4.392393,50,63.383775
-7.612769,50,63.502286
-11.935597,50,63.624691
-7.576804,50,63.773032
-7.604347,50,63.957186
-3.263082,50,64.120383
-9.440035,50,64.259397
-12.778333,50,64.389516
-5.196708,50,64.515934
-7.236553,50,64.683995
-6.74933,50,64.84848
-4.220474,50,65.017682
-8.219257,50,65.219601
-4.868897,50,65.422774
-10.116112,50,66.114068
-4.92367,50,66.472677
-6.263936,50,66.765359
-10.986564,50,66.981009
-5.312929,50,67.129033
-7.465088,50,67.274962
-9.772708,50,67.410025
-6.311601,50,67.535993
-10.79402,50,67.664744
-9.76342,50,67.872839
-8.293494,50,68.156776
-10.17071,50,68.410423
-5.484367,50,68.642962
-7.467222,50,68.901325
-6.512979,50,69.138631
-10.339607,50,69.338365
-5.36229,50,69.590151
-8.13895,50,69.837991
-5.923367,50,70.072874
-6.903108,50,70.300627
-6.873117,50,70.567136
-6.464426,50,71.710635
-5.859081,50,72.076345
-6.647323,50,72.318764
-4.410234,50,72.551378
-6.602824,50,72.797326
-6.106884,50,73.049576
-7.030951,50,73.291136
-6.988399,50,73.504843
-10.346827,50,73.794389
-2.927813,50,74.108849
-5.078189,50,74.341627
-10.136047,50,74.589424
-7.544722,50,74.874983
-6.871129,50,75.065696
-6.538626,50,75.252087
-3.794206,50,75.421292
-7.111066,50,75.600465
-11.873343,50,75.787531
-6.455372,50,76.060945
-6.777568,50,76.258787
-7.070403,50,76.816903
-4.524273,50,77.041065
-8.149635,50,77.207164
-5.5587,50,77.364495
-4.948656,50,77.603385
-5.767485,50,77.745725
-5.524349,50,77.931287
-4.878285,50,78.100711
-9.852437,50,78.245989
-7.489088,50,78.371286
-7.057124,50,78.615999
-5.085755,50,78.863248
-4.951386,50,79.012287
-10.190929,50,79.159475
-4.439495,50,79.330415
-8.97777,50,79.52452
-6.033628,50,79.703631
-4.976484,50,79.841629
-6.681244,50,79.985542
-5.738489,50,80.104002
-4.200802,50,80.225522
-4.72738,50,80.93432
-4.407343,50,81.101363
-6.573416,50,81.242341
-5.449287,50,81.383734
-6.27848,50,81.503099
-4.404138,50,81.625295
-6.259752,50,81.746503
-6.543332,50,81.898573
-6.28192,50,82.031289
-6.3841,50,82.168671
-5.611022,50,82.513659
-10.354767,50,82.686483
-3.493345,50,82.881814
-8.740873,50,83.035333
-10.804464,50,83.170038
-7.576105,50,83.305514
-4.71637,50,83.431808
-7.399624,50,83.569293
-5.77736,50,83.755251
-4.701759,50,83.981676
-5.123115,50,84.625703
-4.719404,50,84.843606
-9.014096,50,85.020046
-5.238265,50,85.155867
-5.543575,50,85.289098
-6.268598,50,85.443629
-4.636494,50,85.644123
-5.598507,50,85.844891
-5.472085,50,86.006907
-5.734524,50,86.13701
-6.010187,50,86.286437
-5.373674,50,86.429007
-7.4742,50,86.568141
-11.138297,50,86.692831
-8.236516,50,86.87204
-10.050579,50,87.015909
-5.873614,50,87.196339
-8.343801,50,87.345774
-10.179158,50,87.475795
-7.674907,50,87.607304
-6.967783,50,87.737701
-9.098859,50,88.19971
-5.332797,50,88.342695
-6.15239,50,88.462543
-3.520906,50,88.591683
-7.580245,50,88.726636
-5.91453,50,88.876268
-8.83905,50,89.011207
-5.654928,50,89.182372
-11.40007,50,89.314369
-6.774998,50,89.446064
-3.986917,50,89.597883
-7.905609,50,89.720027
-4.985078,50,89.861506
-5.187307,50,89.991706
-4.568615,50,90.134169
-6.313625,50,90.257488
-5.56421,50,90.385068
-4.559436,50,90.502862
-3.773249,50,90.636767
-9.08053,50,90.761974
-4.693438,50,91.285532
-8.573212,50,91.448208
